SEASON_END_YEAR,PLAYER_NAME,ALL_NBA_LABEL,PLAYER_NAME_KEY
2025,Giannis Antetokounmpo,3,giannis antetokounmpo
2025,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2025,Nikola Jokić,3,nikola jokic
2025,Donovan Mitchell,3,donovan mitchell
2025,Jayson Tatum,3,jayson tatum
2025,Jalen Brunson,2,jalen brunson
2025,Stephen Curry,2,stephen curry
2025,Anthony Edwards,2,anthony edwards
2025,LeBron James,2,lebron james
2025,Evan Mobley,2,evan mobley
2025,Cade Cunningham,1,cade cunningham
2025,Tyrese Haliburton,1,tyrese haliburton
2025,James Harden,1,james harden
2025,Karl-Anthony Towns,1,karlanthony towns
2025,Jalen Williams,1,jalen williams
2024,Giannis Antetokounmpo,3,giannis antetokounmpo
2024,Luka Dončić,3,luka doncic
2024,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2024,Nikola Jokić,3,nikola jokic
2024,Jayson Tatum,3,jayson tatum
2024,Jalen Brunson,2,jalen brunson
2024,Anthony Davis,2,anthony davis
2024,Kevin Durant,2,kevin durant
2024,Anthony Edwards,2,anthony edwards
2024,Kawhi Leonard,2,kawhi leonard
2024,Devin Booker,1,devin booker
2024,Stephen Curry,1,stephen curry
2024,Tyrese Haliburton,1,tyrese haliburton
2024,LeBron James,1,lebron james
2024,Domantas Sabonis,1,domantas sabonis
2023,Giannis Antetokounmpo,3,giannis antetokounmpo
2023,Jayson Tatum,3,jayson tatum
2023,Joel Embiid,3,joel embiid
2023,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2023,Luka Dončić,3,luka doncic
2023,Jimmy Butler,2,jimmy butler
2023,Jaylen Brown,2,jaylen brown
2023,Nikola Jokić,2,nikola jokic
2023,Donovan Mitchell,2,donovan mitchell
2023,Stephen Curry,2,stephen curry
2023,Julius Randle,1,julius randle
2023,LeBron James,1,lebron james
2023,Domantas Sabonis,1,domantas sabonis
2023,De’Aaron Fox,1,deaaron fox
2023,Damian Lillard,1,damian lillard
2022,Giannis Antetokounmpo,3,giannis antetokounmpo
2022,Jayson Tatum,3,jayson tatum
2022,Nikola Jokić,3,nikola jokic
2022,Devin Booker,3,devin booker
2022,Luka Dončić,3,luka doncic
2022,DeMar DeRozan,2,demar derozan
2022,Kevin Durant,2,kevin durant
2022,Joel Embiid,2,joel embiid
2022,Ja Morant,2,ja morant
2022,Stephen Curry,2,stephen curry
2022,Pascal Siakam,1,pascal siakam
2022,LeBron James,1,lebron james
2022,Karl-Anthony Towns,1,karlanthony towns
2022,Chris Paul,1,chris paul
2022,Trae Young,1,trae young
2021,Giannis Antetokounmpo,3,giannis antetokounmpo
2021,Kawhi Leonard,3,kawhi leonard
2021,Nikola Jokić,3,nikola jokic
2021,Stephen Curry,3,stephen curry
2021,Luka Dončić,3,luka doncic
2021,Julius Randle,2,julius randle
2021,LeBron James,2,lebron james
2021,Joel Embiid,2,joel embiid
2021,Chris Paul,2,chris paul
2021,Damian Lillard,2,damian lillard
2021,Jimmy Butler,1,jimmy butler
2021,Paul George,1,paul george
2021,Rudy Gobert,1,rudy gobert
2021,Bradley Beal,1,bradley beal
2021,Kyrie Irving,1,kyrie irving
2020,Giannis Antetokounmpo,3,giannis antetokounmpo
2020,LeBron James,3,lebron james
2020,Anthony Davis,3,anthony davis
2020,James Harden,3,james harden
2020,Luka Dončić,3,luka doncic
2020,Kawhi Leonard,2,kawhi leonard
2020,Pascal Siakam,2,pascal siakam
2020,Nikola Jokić,2,nikola jokic
2020,Damian Lillard,2,damian lillard
2020,Chris Paul,2,chris paul
2020,Jayson Tatum,1,jayson tatum
2020,Jimmy Butler,1,jimmy butler
2020,Rudy Gobert,1,rudy gobert
2020,Ben Simmons,1,ben simmons
2020,Russell Westbrook,1,russell westbrook
2019,Giannis Antetokounmpo,3,giannis antetokounmpo
2019,Paul George,3,paul george
2019,Nikola Jokić,3,nikola jokic
2019,James Harden,3,james harden
2019,Stephen Curry,3,stephen curry
2019,Kevin Durant,2,kevin durant
2019,Kawhi Leonard,2,kawhi leonard
2019,Joel Embiid,2,joel embiid
2019,Damian Lillard,2,damian lillard
2019,Kyrie Irving,2,kyrie irving
2019,Blake Griffin,1,blake griffin
2019,LeBron James,1,lebron james
2019,Rudy Gobert,1,rudy gobert
2019,Russell Westbrook,1,russell westbrook
2019,Kemba Walker,1,kemba walker
2018,LeBron James,3,lebron james
2018,Kevin Durant,3,kevin durant
2018,Anthony Davis,3,anthony davis
2018,James Harden,3,james harden
2018,Damian Lillard,3,damian lillard
2018,LaMarcus Aldridge,2,lamarcus aldridge
2018,Giannis Antetokounmpo,2,giannis antetokounmpo
2018,Joel Embiid,2,joel embiid
2018,DeMar DeRozan,2,demar derozan
2018,Russell Westbrook,2,russell westbrook
2018,Paul George,1,paul george
2018,Jimmy Butler,1,jimmy butler
2018,Karl-Anthony Towns,1,karlanthony towns
2018,Stephen Curry,1,stephen curry
2018,Victor Oladipo,1,victor oladipo
2017,LeBron James,3,lebron james
2017,Kawhi Leonard,3,kawhi leonard
2017,Anthony Davis,3,anthony davis
2017,James Harden,3,james harden
2017,Russell Westbrook,3,russell westbrook
2017,Giannis Antetokounmpo,2,giannis antetokounmpo
2017,Kevin Durant,2,kevin durant
2017,Rudy Gobert,2,rudy gobert
2017,Stephen Curry,2,stephen curry
2017,Isaiah Thomas,2,isaiah thomas
2017,Draymond Green,1,draymond green
2017,Jimmy Butler,1,jimmy butler
2017,DeAndre Jordan,1,deandre jordan
2017,John Wall,1,john wall
2017,DeMar DeRozan,1,demar derozan
2016,LeBron James,3,lebron james
2016,Kawhi Leonard,3,kawhi leonard
2016,DeAndre Jordan,3,deandre jordan
2016,Stephen Curry,3,stephen curry
2016,Russell Westbrook,3,russell westbrook
2016,Kevin Durant,2,kevin durant
2016,Draymond Green,2,draymond green
2016,DeMarcus Cousins,2,demarcus cousins
2016,Chris Paul,2,chris paul
2016,Damian Lillard,2,damian lillard
2016,Paul George,1,paul george
2016,LaMarcus Aldridge,1,lamarcus aldridge
2016,Andre Drummond,1,andre drummond
2016,Klay Thompson,1,klay thompson
2016,Kyle Lowry,1,kyle lowry
2015,LeBron James,3,lebron james
2015,Anthony Davis,3,anthony davis
2015,Marc Gasol,3,marc gasol
2015,Stephen Curry,3,stephen curry
2015,James Harden,3,james harden
2015,LaMarcus Aldridge,2,lamarcus aldridge
2015,DeMarcus Cousins,2,demarcus cousins
2015,Pau Gasol,2,pau gasol
2015,Russell Westbrook,2,russell westbrook
2015,Chris Paul,2,chris paul
2015,Blake Griffin,1,blake griffin
2015,Tim Duncan,1,tim duncan
2015,DeAndre Jordan,1,deandre jordan
2015,Klay Thompson,1,klay thompson
