SEASON_END_YEAR,PLAYER_NAME,ALL_ROOKIE_LABEL,PLAYER_NAME_KEY
2025,Stephon Castle,2,stephon castle
2025,Zach Edey,2,zach edey
2025,Zaccharie Risacher,2,zaccharie risacher
2025,Alex Sarr,2,alex sarr
2025,Jaylen Wells,2,jaylen wells
2025,Matas Buzelis,1,matas buzelis
2025,Bub Carrington,1,bub carrington
2025,Donovan Clinglan,1,donovan clinglan
2025,Yves Missi,1,yves missi
2025,Kel’El Ware,1,kelel ware
2024,Chet Holmgren,2,chet holmgren
2024,Victor Wembanyama,2,victor wembanyama
2024,Brandon Miller,2,brandon miller
2024,Jaime Jaquez Jr.,2,jaime jaquez jr
2024,Brandin Podziemski,2,brandin podziemski
2024,Dereck Lively II,1,dereck lively ii
2024,Amen Thompson,1,amen thompson
2024,Keyonte George,1,keyonte george
2024,Cason Wallace,1,cason wallace
2024,GG Jackson II,1,gg jackson ii
2023,Paolo Banchero,2,paolo banchero
2023,Walker Kessler,2,walker kessler
2023,Jalen Williams,2,jalen williams
2023,Bennedict Mathurin,2,bennedict mathurin
2023,Keegan Murray,2,keegan murray
2023,Jalen Duren,1,jalen duren
2023,Jaden Ivey,1,jaden ivey
2023,Tari Eason,1,tari eason
2023,Jabari Smith Jr.,1,jabari smith jr
2023,Jeremy Sochan,1,jeremy sochan
2022,Scottie Barnes,2,scottie barnes
2022,Cade Cunningham,2,cade cunningham
2022,Evan Mobley,2,evan mobley
2022,Franz Wagner,2,franz wagner
2022,Jalen Green,2,jalen green
2022,Herbert Jones,1,herbert jones
2022,Josh Giddey,1,josh giddey
2022,Bones Hyland,1,bones hyland
2022,Ayo Dosunmu,1,ayo dosunmu
2022,Chris Duarte,1,chris duarte
2021,LaMelo Ball,2,lamelo ball
2021,Anthony Edwards,2,anthony edwards
2021,Tyrese Haliburton,2,tyrese haliburton
2021,Saddiq Bey,2,saddiq bey
2021,Jae’Sean Tate,2,jaesean tate
2021,Immanuel Quickley,1,immanuel quickley
2021,Desmond Bane,1,desmond bane
2021,Isaiah Stewart,1,isaiah stewart
2021,Isaac Okoro,1,isaac okoro
2021,Patrick Williams,1,patrick williams
2020,Ja Morant,2,ja morant
2020,Kendrick Nunn,2,kendrick nunn
2020,Brandon Clarke,2,brandon clarke
2020,Zion Williamson,2,zion williamson
2020,Eric Paschall,2,eric paschall
2020,Tyler Herro,1,tyler herro
2020,Terence Davis II,1,terence davis ii
2020,Coby White,1,coby white
2020,P.J. Washington Jr.,1,pj washington jr
2020,Rui Hachimura,1,rui hachimura
2019,Luka Doncic,2,luka doncic
2019,Trae Young,2,trae young
2019,Deandre Ayton,2,deandre ayton
2019,Jaren Jackson Jr.,2,jaren jackson jr
2019,Marvin Bagley III,2,marvin bagley iii
2019,Shai Gilgeous-Alexander,1,shai gilgeousalexander
2019,Collin Sexton,1,collin sexton
2019,Landry Shamet,1,landry shamet
2019,Mitchell Robinson,1,mitchell robinson
2019,Kevin Huerter,1,kevin huerter
2018,Kyle Kuzma,2,kyle kuzma
2018,Lauri Markkanen,2,lauri markkanen
