SEASON_END_YEAR,PLAYER_NAME,PLAYER_NAME_KEY,IS_ALL_STAR_THIS_SEASON
2000,Allan Houston,allan houston,1
2000,Allen Iverson,allen iverson,1
2000,Alonzo Mourning,alonzo mourning,1
2000,Chris Webber,chris webber,1
2000,D. Schayes,d schayes,1
2000,Dale Davis,dale davis,1
2000,David Robinson,david robinson,1
2000,Dikembe Mutombo,dikembe mutombo,1
2000,E. Hayes,e hayes,1
2000,Eddie Jones,eddie jones,1
2000,G. Antetokounmpo,g antetokounmpo,1
2000,Gary Payton,gary payton,1
2000,Glenn Robinson,glenn robinson,1
2000,Grant Hill,grant hill,1
2000,H. Olajuwon,h olajuwon,1
2000,J. Embiid,j embiid,1
2000,J. Harden,j harden,1
2000,J. Havlicek,j havlicek,1
2000,J. Stockton,j stockton,1
2000,Jason Kidd,jason kidd,1
2000,Jerry Stackhouse,jerry stackhouse,1
2000,John Stockton,john stockton,1
2000,K. Durant,k durant,1
2000,Karl Malone,karl malone,1
2000,Kevin Garnett,kevin garnett,1
2000,Kobe Bryant,kobe bryant,1
2000,L. DonÄiÄ,l donaia,1
2000,L. James,l james,1
2000,Michael Finley,michael finley,1
2000,N. JokiÄ,n jokia,1
2000,Rasheed Wallace,rasheed wallace,1
2000,Ray Allen,ray allen,1
2000,Reggie Miller,reggie miller,1
2000,S. Curry,s curry,1
2000,Shaquille O'Neal,shaquille oneal,1
2000,Tim Duncan,tim duncan,1
2000,V. Wembanyama,v wembanyama,1
2000,Vince Carter,vince carter,1
2000,W. Chamberlain,w chamberlain,1
2001,Allan Houston,allan houston,1
2001,Allen Iverson,allen iverson,1
2001,Alonzo Mourning,alonzo mourning,1
2001,Anthony Mason,anthony mason,1
2001,Antonio Davis,antonio davis,1
2001,Antonio McDyess,antonio mcdyess,1
2001,Chris Webber,chris webber,1
2001,D. Schayes,d schayes,1
2001,David Robinson,david robinson,1
2001,Dikembe Mutombo,dikembe mutombo,1
2001,E. Hayes,e hayes,1
2001,G. Antetokounmpo,g antetokounmpo,1
2001,Gary Payton,gary payton,1
2001,Glenn Robinson,glenn robinson,1
2001,Grant Hill,grant hill,1
2001,H. Olajuwon,h olajuwon,1
2001,J. Embiid,j embiid,1
2001,J. Harden,j harden,1
2001,J. Havlicek,j havlicek,1
2001,J. Stockton,j stockton,1
2001,Jason Kidd,jason kidd,1
2001,Jerry Stackhouse,jerry stackhouse,1
